Disciplina;CFC_2022_01;;CFC_2022_02;;CFC_2023_01;;CFC_2023_02;;CFC_2024_01;;CFC_2024_01_RS;;CFC_2024_02;;CFC_2025_01;;CFC_2025_02;
;Extraída;Oficial;Extraída;Oficial;Extraída;Oficial;Extraída;Oficial;Extraída;Oficial;Extraída;Oficial;Extraída;Oficial;Extraída;Oficial;Extraída;Oficial
Auditoria Contábil;2;2;2;2;2;2;3;2;2;2;2;2;2;;2;2;2;
Contabilidade Aplicada ao Setor Público;3;3;4;3;3;3;3;3;3;3;3;3;3;;3;3;3;
Contabilidade de Custos;3;4;5;4;5;4;2;1;0;1;1;1;3;;4;4;3;
Contabilidade Geral e NBCs;22;21;23;21;24;21;23;22;22;22;23;22;22;;20;21;22;
Contabilidade Gerencial;4;2;1;2;2;2;2;5;6;5;5;5;2;;3;3;3;
Controladoria;1;1;1;1;0;1;1;1;1;1;1;1;1;;2;2;2;
Legislação e Ética Profissional;4;4;4;4;4;4;7;3;3;3;3;3;3;;2;2;2;
Língua Portuguesa Aplicada;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;2;2;
Matemática Financeira e Estatística;1;2;2;2;3;2;1;2;2;2;2;2;2;;2;2;2;
Noções de Direito e Legislação Aplicada;3;3;1;3;2;3;2;3;3;3;3;3;3;;3;3;3;
Perícia Contábil;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;2;2;
Teoria da Contabilidade;3;4;3;4;1;4;2;4;4;4;3;4;5;;5;4;4;
